invoiceDate,invoiceNumber,purchaseDealer,receivedDate,manufactureDate,model,grade,fuelType,suffix,exteriorColor,interiorColor,chassisNumber,engineNumber,keyNumber,location,invoiceValue,age,interest,vehicleStatus
22/05/25,6935001469,Anant Indore,23/05/25,1905,URBAN CRUISER HYRYDER,E MT 2WD MHV,PETROL,D22BH,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYML1SSD157163,K15CN 7699483,50343,Gwalior,,23,,BOOKED
26/05/25,6935002926,Anant Gwalior,31/05/25,1905,URBAN CRUISER HYRYDER,E MT 2WD MHV,PETROL,D22BH,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYML1SSE160146,K15CN 7725645,50717,Gwalior,1114227.8,19,7540.116893,FREE
27/05/25,6935003006,Anant Gwalior,02/06/25,1905,URBAN CRUISER HYRYDER,E MT 2WD MHV,PETROL,D22BH,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYML1SSE160321,MBJUYML1SSE160321,50532,Gwalior,1114227.8,18,7143.268636,FREE
02/06/25,6935003398,Anant Gwalior,07/06/25,1905,URBAN CRUISER HYRYDER,E MT 2WD MHV,PETROL,D22BH,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYML1SSE161177,K15CN 7735765,50389,Gwalior,1114227.8,12,4762.17909,BOOKED
02/06/25,6935003398,Anant Gwalior,07/06/25,1905,URBAN CRUISER HYRYDER,E MT 2WD MHV,PETROL,D22BH,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYML1SSE161070,K15CN 7735591,51183,Gwalior,1114227.8,12,4762.17909,FREE
21/01/25,6934001994,Anant Gwalior,25/01/25,1905,URBAN CRUISER HYRYDER,G AT 2WD MHV,PETROL,D22AL,SPEEDY BLUE,INTERIOR COLOR FOR D22,MBJUYML1SRM148579,K15CN 7611982,50289,Shivpuri,1499951,144,76928.99375,FREE
22/01/25,1124029189,Anant Gwalior,28/01/25,1905,URBAN CRUISER HYRYDER,G AT 2WD MHV,PETROL,D22AL,ENTICING SILVER,INTERIOR COLOR FOR D22,MBJUYML1SSA150695,K15CN 7633178,50292,Gwalior,1499951,143,76394.76463,FREE
16/04/25,6935000841,Anant Gwalior,21/04/25,1905,URBAN CRUISER HYRYDER,G eDrive 2WD,HYBRID,D22U5,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYMM1SSD171002,M15D ND96453,50651,Gwalior,1805126.95,59,37932.39372,FREE
02/05/25,6935001675,Anant Gwalior,06/05/25,1905,URBAN CRUISER HYRYDER,G eDrive 2WD,HYBRID,D22U5,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYMM1SSD171672,M15D NE02139,50960,Gwalior,1805126.95,43,27645.64288,FREE
02/06/25,6935003398,Anant Gwalior,07/06/25,1905,URBAN CRUISER HYRYDER,G eDrive 2WD,HYBRID,D22U5,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYMM1SSE174914,M15D NE17600,50745,Gwalior,1805127,12,7715.063342,FREE
